symbol,timeframe,trade_id,signal_time,direction,pattern_group,entry1_price,entry1_filled,entry2_price,entry2_filled,exit_price,exit_time,exit_reason,pnl_pct,tp_price,sl_price
BTCUSDT,30m,0,2025-10-16 21:30:00,Long,G3,107626.5,False,108059.3,True,108700.0,2025-10-17 00:30:00,TP,0.29645759319188497,108700.0,107350.0
BTCUSDT,30m,1,2025-11-04 11:30:00,Long,G1,103700.2,True,104254.7,True,103550.0,2025-11-04 13:00:00,SL,-0.41109875266223306,104946.3,103550.0
BTCUSDT,1h,0,2025-10-15 04:00:00,Short,G1,113557.9,False,111978.7,True,111615.1,2025-10-15 11:00:00,TP,0.16235230450076277,111615.1,113576.1
BTCUSDT,15m,0,2025-10-27 23:45:00,Long,G3,114077.7,True,114093.4,True,113792.4,2025-10-28 00:45:00,SL,-0.2569562928872186,114602.6,113792.4
BTCUSDT,15m,1,2025-11-05 14:15:00,Short,G3,102719.7,True,102594.7,True,102237.6,2025-11-05 14:30:00,TP,0.408738987620928,102237.6,103207.0
BTCUSDT,25m,0,2025-11-04 22:15:00,Long,G1,99482.6,False,100871.9,True,101674.6,2025-11-04 23:30:00,TP,0.39788087663661126,101674.6,98888.8
BTCUSDT,45m,0,2025-11-03 12:00:00,Long,G1,106925.7,False,107737.4,True,108088.8,2025-11-03 13:30:00,TP,0.1630817153560457,108088.8,106618.7
ETHUSDT,1h,0,2025-10-03 06:00:00,Short,G3,4485.31,False,4474.7,True,4453.46,2025-10-03 07:00:00,TP,0.23733434643663018,4453.46,4559.0
ETHUSDT,1h,1,2025-10-09 22:00:00,Long,G2,4323.0,False,4355.88,True,4355.14,2025-10-09 23:00:00,TP,-0.008494265223098223,4355.14,4262.55
ETHUSDT,15m,0,2025-10-27 10:30:00,Long,G1,4153.0,True,4169.9,True,4152.81,2025-10-27 11:15:00,SL,-0.20761994016507268,4181.95,4152.81
ETHUSDT,15m,1,2025-11-05 06:00:00,Short,G1,3347.75,False,3324.07,True,3303.8,2025-11-05 07:15:00,TP,0.30489730962344325,3303.8,3353.8
ETHUSDT,15m,2,2025-11-05 14:30:00,Short,G2,3348.0,True,3339.0,True,3331.35,2025-11-05 14:45:00,TP,0.36339165545087754,3331.35,3375.0
BNBUSDT,15m,0,2025-11-01 05:15:00,Short,G1,1090.8,False,1088.16,True,1087.53,2025-11-01 05:30:00,TP,0.028947948831059268,1087.53,1090.92
BNBUSDT,15m,1,2025-11-05 14:30:00,Short,G1,955.74,True,954.29,True,962.09,2025-11-05 15:30:00,SL,-0.7408260603236646,950.33,962.09
币安人生USDT,15m,0,2025-11-01 16:00:00,Long,G2,0.21501,False,0.21652,True,0.22088,2025-11-01 16:30:00,TP,1.0068353962682437,0.22088,0.21129
BBUSDT,30m,0,2025-10-23 20:30:00,Short,G1,0.12442,False,0.12261,True,0.12134,2025-10-23 21:30:00,TP,0.5179022918195879,0.12134,0.12622
BBUSDT,30m,1,2025-10-31 06:30:00,Short,G2,0.10569,True,0.10554,True,0.10485,2025-10-31 11:30:00,TP,0.7243289305496395,0.10485,0.10689
BBUSDT,30m,2,2025-11-01 22:00:00,Short,G1,0.11179,False,0.10826,True,0.10599,2025-11-02 13:00:00,TP,1.048401995196746,0.10599,0.11277
BBUSDT,15m,0,2025-11-03 07:30:00,Long,G3,0.09461,False,0.09587,True,0.09718,2025-11-03 09:00:00,TP,0.6832168561593854,0.09718,0.09321
TRBUSDT,1h,0,2025-10-20 16:00:00,Short,G1,26.04,True,25.948,True,25.566,2025-10-21 03:00:00,TP,1.6465338154958868,25.566,26.589
TRBUSDT,25m,0,2025-11-02 04:25:00,Long,G1,27.074,False,27.212,True,27.321,2025-11-02 04:50:00,TP,0.20027928854917273,27.321,26.864
POLYXUSDT,1h,0,2025-10-31 17:00:00,Short,G1,0.08101,True,0.07978,True,0.08123,2025-10-31 19:00:00,SL,-1.0386218048386124,0.07928,0.08123
POLYXUSDT,45m,0,2025-11-02 21:45:00,Long,G1,0.07995,False,0.08083,True,0.08141,2025-11-02 22:30:00,TP,0.35877768155387674,0.08141,0.07964
DUSKUSDT,30m,0,2025-10-18 17:30:00,Long,G2,0.04672,False,0.04765,True,0.04738,2025-10-18 18:00:00,TP,-0.2833158447009438,0.04738,0.04663
